,amount_of_loan,interest_rate,time_to_repay,simple_interest,cibil_score,past_debt_to_repay,profit_percentage_last_year,competition_scale,sustainability,startup,management_effectivity,Total_Revenue
146,2720588,13,8,1,560,1292210,35,10,0,1,1,10618580
147,4070315,10,8,0,585,3472997,47,3,1,0,1,7970870
148,5958142,7,9,0,366,511258,46,2,0,1,0,9800250
149,8060922,9,6,0,556,4362320,35,7,1,0,0,8929725
150,2203521,14,3,1,804,1269815,12,7,1,0,1,9614100
151,1955020,8,1,1,418,217790,22,8,1,1,1,5880150
152,8357512,10,4,0,750,1467025,20,1,0,1,0,8767665
153,2355244,10,3,1,331,3652530,30,4,0,1,0,5881975
154,1323278,13,8,0,853,3859371,4,1,0,1,0,4902680
155,1077144,7,3,1,520,427803,21,8,1,1,0,6154630
156,5916365,9,7,0,833,1229690,6,1,1,1,0,12726090
157,985530,13,5,1,693,2202539,49,2,1,0,0,9122080
158,5950824,6,8,0,379,2088813,11,2,0,1,1,12640315
159,8482156,7,3,1,509,3858807,27,9,0,1,0,8365800
160,7079108,7,8,1,576,1378626,2,8,0,0,0,9685640
161,3939256,7,8,1,838,4799384,39,6,1,1,0,11986235
162,9933361,6,7,0,322,1329862,25,2,1,1,1,13561575
163,8725629,14,5,1,624,665660,2,7,0,1,0,6692640
164,6073461,8,3,1,437,4813786,34,5,0,0,1,11068260
165,7015094,6,6,0,606,3415327,2,4,0,1,0,8641740
166,6619655,12,5,1,363,1037057,21,1,0,1,0,7884000
167,8992939,7,2,0,748,2663842,28,2,1,0,0,9428680
168,3372665,14,2,0,718,2477513,29,8,1,1,1,8524940
169,2587494,14,2,0,682,786782,34,2,0,1,0,9172450
170,8704705,10,3,0,813,1292783,16,9,1,0,1,6859810
171,6828975,6,5,0,532,2350077,35,3,0,0,0,9430140
172,8180904,11,6,1,649,3315938,39,7,1,0,0,8781900
173,5138800,13,8,1,814,2939944,2,1,1,1,1,9733820
174,1574880,12,8,1,442,3867358,7,4,0,1,1,7959920
175,5806045,7,9,0,577,4304519,32,9,0,1,1,12075660
176,5032552,10,7,1,547,163390,45,9,0,1,0,9817770
177,4528019,12,5,0,756,430626,5,3,1,1,0,10772245
178,4245393,14,5,1,510,3240040,6,4,0,1,0,5302720
179,6342024,10,1,0,472,1163365,12,10,1,1,1,9490365
180,2071127,8,9,1,556,1237131,9,1,0,0,0,6344065
181,8652423,8,8,1,640,4954714,7,6,0,1,1,13224680
182,764407,9,5,0,530,3479036,36,6,0,0,0,11959590
183,7261328,9,3,1,309,3750078,38,8,0,1,1,10646685
184,1367866,10,3,1,770,2992648,6,3,1,0,1,7861370
185,4938249,6,3,1,400,49196,42,10,0,1,1,9611545
186,1679644,10,1,1,495,1775094,38,4,1,1,0,8321270
187,9196579,7,5,1,440,2083001,27,2,0,0,1,11332885
188,978657,11,7,1,743,1773726,2,6,1,1,0,13007140
189,9771461,14,1,1,437,1692992,3,10,0,1,0,7658795
190,3106378,11,1,0,499,3612706,38,6,0,1,1,9252750
191,7132123,9,1,1,699,3624418,8,5,0,1,1,9013310
192,9785948,13,2,0,622,2122657,11,5,1,1,1,11550790
193,1666606,8,1,0,414,2494631,5,5,1,0,1,7518635
194,5697736,14,1,1,461,2857011,36,7,0,1,0,6807980
195,9894589,10,2,1,539,4448703,39,3,0,0,0,7832900
196,3973014,10,8,1,611,3535287,43,9,1,1,1,7743840
197,1166483,6,9,0,326,2563202,7,9,0,1,0,6678770
198,8878325,9,4,0,687,1722079,32,1,1,1,1,8894685
199,8050660,6,4,0,321,2784248,6,6,1,0,1,8724960
200,9701613,7,6,0,473,1150081,20,4,0,0,0,8587720
201,1952379,6,8,0,707,4202251,22,5,0,0,1,8517640
202,9283761,10,8,0,676,1294805,17,4,0,0,1,7886555
203,1983668,13,7,0,509,1574280,48,3,0,0,1,8311780
204,8437287,8,9,1,327,1141478,14,3,1,1,0,10391185
205,3004652,13,7,1,624,4554385,3,2,0,0,1,12853110
206,7445837,13,5,0,827,2420262,26,7,0,1,0,12566950
207,6491423,9,7,1,569,437923,43,5,0,1,0,9269175
208,8012885,8,7,1,571,786966,15,6,1,1,0,9576140
209,1541757,13,9,0,418,1153821,21,2,0,0,0,8446100
210,5930513,10,7,1,792,133835,20,6,1,1,1,7534695
211,2298922,14,4,1,460,115838,26,10,0,1,0,8297180
212,1683280,6,7,1,302,3864012,27,5,0,0,1,7167870
213,1557231,6,9,0,707,3174606,41,5,0,0,1,8942865
214,2752974,9,8,0,344,1845936,26,7,1,0,0,7473010
215,8436089,10,1,1,516,414706,32,9,1,1,0,7247805
216,8720749,6,1,0,603,1894054,37,8,1,1,1,9950995
217,8661436,14,8,1,893,4103384,19,4,0,1,0,5227530
218,7087967,12,4,0,836,2578257,15,4,1,0,1,10887585
219,3020832,7,6,0,544,1640031,38,1,1,0,0,6282380
220,5922642,11,9,1,356,187310,45,8,1,1,0,13457550
221,7565721,14,2,0,409,662016,7,2,1,0,0,8313970
222,7939074,11,6,0,379,4805736,2,1,0,0,0,10080570
223,5197362,12,1,1,330,1986458,13,2,0,0,1,8060295
224,2677744,11,7,1,732,3327030,31,10,0,1,1,10897440
225,6143503,12,4,1,899,4094597,16,5,1,0,0,9019150
226,3253283,12,8,1,332,642349,0,9,1,0,1,8618380
227,5572362,10,2,0,326,3524435,34,4,0,0,0,6904340
228,7120794,13,5,0,342,4166336,35,6,0,0,0,8660720
229,3410102,10,2,1,787,4832073,8,4,1,0,0,7405120
230,8760448,10,6,1,564,1029304,40,2,0,0,1,9015135
231,2307621,11,8,1,410,1598920,35,5,1,0,0,8741020
232,1955314,7,8,0,714,958745,3,4,0,1,0,4903775
233,7032049,14,5,1,403,4762820,8,1,0,0,1,14498530
234,9699279,14,2,0,498,4855750,11,9,1,0,0,6665630
235,1086070,9,8,0,531,3600692,8,8,1,1,0,10964600
236,2043427,8,3,0,515,2911998,22,2,0,0,0,9307500
237,5384407,14,3,0,335,4646823,24,4,0,0,1,12436280
238,4438956,6,5,0,698,3257512,9,10,1,1,0,12389195
239,3855182,11,1,1,690,4058030,43,1,1,0,0,9704255
240,9069662,9,6,1,439,1642859,8,4,1,0,1,6937920
241,6221206,13,8,1,328,3542289,32,4,0,1,0,6920400
242,972116,8,3,1,668,3337653,11,5,0,1,1,8526035
243,4780146,9,6,1,698,4529737,13,1,0,0,1,8822780
244,8685798,8,2,1,880,133285,47,10,0,0,0,6155725
245,1974779,9,2,0,513,1041321,18,1,1,1,0,10482435
246,705412,12,6,1,601,3941895,8,7,1,1,1,9318815
247,867427,6,3,1,782,4865683,27,3,1,0,0,8004450
248,2158586,7,1,1,898,2878188,28,9,0,0,1,13368855
249,4093970,13,7,0,434,2300694,19,6,0,1,1,10826630
250,2207998,14,5,1,743,1372796,38,3,0,1,0,7995690
251,7765874,6,7,1,354,4688898,48,5,1,0,1,8333680
252,3415802,7,1,0,330,3324299,40,6,1,0,0,8134755
253,5787686,13,1,1,686,1347201,14,10,1,1,0,7322265
254,8594008,12,5,1,559,2723125,44,7,1,0,0,7636530
255,2061396,13,1,1,500,3182324,16,1,1,0,1,8432595
256,5960073,12,1,0,836,4030318,44,8,1,1,1,6670740
257,8879288,14,6,0,880,635918,23,5,1,1,0,6357570
258,9406477,8,1,0,640,3567516,36,9,1,1,1,12620970
259,4045014,8,4,1,481,3299001,15,5,0,0,0,10165980
260,2791711,10,3,1,712,2065888,27,8,1,0,0,6744835
261,2138609,7,6,0,834,392778,2,1,1,1,1,6244420
262,5759273,13,9,0,314,1214742,41,3,0,1,0,8084750
263,5187784,10,7,1,734,442017,9,10,1,0,1,11043075
264,7732126,10,9,0,346,470337,43,9,1,1,0,8566550
265,3940064,12,2,0,649,3708245,1,3,0,1,0,7062750
266,4119932,12,4,0,573,4158268,39,7,1,1,0,10529520
267,4163928,13,6,1,664,3747392,1,10,1,1,1,7023330
268,2732796,6,8,0,549,4516342,28,1,0,1,0,12341380
269,3226757,14,5,0,583,3197809,26,9,0,0,1,10576240
270,8724945,7,8,1,317,4884394,18,5,0,1,1,7790195
271,6827307,8,3,1,531,2051833,31,2,1,1,1,12320940
272,3160425,7,5,0,654,4143913,29,7,1,0,1,8979000
273,5851991,7,3,0,517,1555607,23,2,1,1,1,8722040
274,7523313,12,9,0,705,4808437,37,9,1,1,0,8298640
275,6440131,6,1,0,308,3704485,24,1,1,1,0,7831440
276,2575098,7,3,0,750,4637234,11,5,1,0,0,10685010
277,6358865,8,1,0,758,2050281,23,5,1,1,1,9046890
278,2970694,7,5,0,332,1795074,34,9,1,1,1,11796800
279,3493686,13,6,0,363,265136,25,5,0,0,0,5600195
280,4341937,13,8,1,655,3340881,21,7,1,0,0,8045330
281,6088313,9,9,1,386,920746,14,6,1,0,1,7235760
282,2446173,10,3,0,824,2168740,23,10,1,1,0,10186785
283,746793,7,6,0,313,1803256,30,6,0,0,1,7854435
284,5712561,14,6,0,488,855193,0,10,0,1,0,4724925
285,1547595,12,3,1,385,4897959,31,3,1,1,0,5949135
286,4370054,7,2,1,368,1882384,48,5,1,1,1,10004650
287,5256979,11,8,0,334,1364344,11,4,1,1,1,6532040
288,1974178,7,1,0,782,1387403,44,2,1,0,0,13038530
289,3364848,11,9,0,855,3507810,46,1,0,1,0,11030300
290,3834872,7,7,0,310,4409165,43,1,1,1,0,8899795
291,7568823,13,5,0,804,3619243,36,2,0,1,1,13154965
292,3752247,7,6,0,569,1908562,19,5,0,0,1,15429280
293,4185876,11,8,0,830,3907385,44,1,1,1,0,6642270
294,5516183,10,3,1,485,3537946,8,6,1,0,0,14081700
295,8798521,13,5,1,801,1411694,12,3,1,1,1,6148425
296,6784992,9,6,0,867,1355277,7,6,1,1,0,6819660
297,4770264,10,3,1,324,3757746,28,5,1,1,1,12382625
298,3825199,7,2,1,842,2866357,11,10,1,1,0,6153170
299,4310637,7,6,0,879,4317064,16,1,1,0,0,8276375
300,9692262,10,1,0,784,3901401,32,6,1,1,1,8096795
301,1423491,11,1,1,486,3604841,7,9,1,1,1,7333215
302,1890309,10,9,0,875,326312,2,6,1,1,0,10186785
303,2651543,12,5,1,473,2154181,4,10,1,0,1,9262970
304,3696494,12,6,0,856,3625823,31,5,1,0,0,7568275
305,7730254,9,9,1,839,3694483,31,3,1,0,1,6985370
306,3737814,10,3,1,662,53550,11,8,1,1,0,4876400
307,3444699,12,1,1,670,4937119,17,2,1,1,1,8907825
308,5927713,10,3,0,673,4728709,37,7,0,0,1,5670275
309,3341289,12,7,1,669,4003931,42,6,1,0,1,10851815
310,5995253,9,4,0,569,3891258,30,9,1,0,0,9618845
311,9122574,10,8,1,596,3669248,29,4,1,0,1,5752765
312,1956751,13,4,1,831,3407053,15,4,0,1,0,7852245
313,9891898,10,6,0,739,443298,30,6,0,0,1,9003455
314,9994826,12,3,1,438,4399248,8,8,1,1,0,11427420
315,3632595,9,1,0,813,2247455,6,2,0,1,0,9744040
316,850828,6,4,0,377,1875548,3,10,1,0,0,11057310
317,4212829,10,6,0,408,4485708,28,6,1,0,0,11432165
318,9463194,9,1,0,722,1627211,21,1,1,0,1,11466840
319,1165740,12,8,1,684,1144865,20,3,1,0,1,12069090
320,6741969,12,1,1,697,4845697,45,10,0,1,0,11486550
321,1330522,10,9,1,342,3913193,16,10,1,1,0,7406215
322,1965614,14,6,1,830,1482963,48,6,0,0,1,7292700
323,5064931,8,3,0,813,148001,33,1,1,0,1,10316725
324,5993071,8,7,1,443,1007276,47,10,0,0,0,9025720
325,9241014,10,1,1,586,290006,0,2,0,1,1,7709530
326,4392652,7,7,1,376,3850572,49,5,1,1,0,7410960
327,7050698,6,2,0,881,525559,39,7,1,0,0,7562800
328,3637565,14,2,0,409,646539,21,10,1,0,1,8263965
329,4270341,8,7,0,328,973620,46,6,1,0,1,12647615
330,3602494,7,3,1,738,2124262,38,3,1,1,0,8949800
331,924162,10,9,1,605,727703,41,10,1,0,1,8845045
332,4581464,8,1,1,404,465724,30,2,0,1,1,7268975
333,8351484,7,2,1,304,4781882,16,10,0,1,1,5684145
334,6470715,12,6,1,455,1859888,39,8,1,1,0,12788870
335,4585740,7,7,1,375,306193,0,2,1,0,0,8374925
336,1093890,8,2,0,793,167510,2,10,0,0,0,5852775
337,2610537,8,4,1,529,672731,15,10,1,1,0,11225210
338,3014128,7,4,0,433,1241310,19,5,1,1,0,12501250
339,2564084,13,2,0,659,4041798,28,5,0,0,0,7164950
340,2248620,7,8,0,470,1146985,24,5,1,1,1,15791725
341,4608286,11,3,0,363,4012902,31,3,0,0,1,11207690
342,4093899,11,6,0,754,315227,45,8,0,0,0,8603050
343,3274686,9,9,1,321,1981358,45,3,0,1,0,5365500
344,2543983,13,3,0,726,3975501,20,1,1,0,1,8199725
345,2685905,13,5,0,826,4178184,44,9,0,0,0,6922955
346,6719206,12,2,0,854,1904829,18,10,1,1,0,6985005
347,9389673,14,2,1,468,1603297,5,6,0,0,1,12221660
348,1210346,12,6,1,540,494123,14,4,1,1,1,10362350
349,9604435,7,7,0,685,3037358,19,7,1,0,0,6109370
350,2403718,8,2,1,642,3419285,11,7,0,0,1,9698050
351,2747644,12,4,1,305,1082300,8,10,0,0,0,12062155
352,9768845,10,7,1,803,3065585,47,7,1,0,0,8995425
353,2378449,12,8,0,417,4156772,12,3,1,1,0,9806820
354,5892796,14,1,0,890,2254713,13,8,1,0,1,7364240
355,5582524,12,7,1,449,2260218,42,4,1,1,0,10095900
356,1116688,14,6,0,756,2388613,0,1,0,1,0,8055550
357,3139848,13,7,0,811,3911994,36,10,0,0,1,10561640
358,6911211,11,1,1,842,2275637,33,3,1,0,0,14566420
359,3657718,8,5,0,657,1166976,3,9,1,0,1,11772710
360,6197520,7,2,1,744,753726,19,9,0,0,1,8930820
361,1031950,14,5,0,410,3494006,13,2,0,1,0,8193520
362,2367986,10,8,0,698,302774,3,7,1,0,0,9007105
363,2578765,12,1,0,471,4455931,23,3,1,0,1,14044835
364,1891206,8,3,1,764,1672557,1,3,1,0,0,11124470
365,3845051,14,1,1,382,597751,4,10,1,0,0,9305310
366,2671322,7,8,1,422,6041,6,3,1,0,1,9392180
367,6360688,11,7,0,744,3877564,8,4,0,1,0,9033385
368,3641678,8,7,1,475,4008655,27,5,0,1,0,9819960
369,5385043,14,6,1,788,3454481,8,9,1,0,0,11298575
370,9794897,6,5,0,748,541737,22,4,1,0,0,7600760
371,3166410,13,5,1,629,984436,17,6,1,0,0,9283410
372,2376231,10,7,1,502,1204513,35,2,1,1,1,11369020
373,3211642,6,1,0,749,2895627,12,6,0,1,0,10572590
374,3134087,8,7,1,321,2776712,1,6,0,1,1,6459405
375,3812571,9,3,0,500,4249447,42,8,0,1,1,6436410
376,6109875,13,8,0,749,4978443,13,1,1,1,0,8635535
377,6167492,6,8,0,845,1078419,40,4,0,0,0,11796070
378,2851737,12,1,0,544,608967,44,10,1,0,0,10772610
379,6115609,9,6,0,773,2184857,31,8,0,1,0,9698050
380,8348147,6,3,0,516,3468736,46,3,1,0,0,8452670
381,5330698,6,5,1,428,3673414,11,7,0,0,0,9779810
382,9151466,10,8,0,646,274664,20,1,1,1,0,8341710
383,6186133,12,6,0,879,2948567,1,2,0,0,0,8999440
384,9051386,11,1,1,687,3231743,47,8,1,1,1,10948905
385,3489921,13,8,0,384,4497038,42,3,1,0,1,9483430
386,8868353,8,2,0,727,3622719,13,2,0,1,1,12902750
387,1563348,12,6,1,831,747081,48,3,0,0,1,12813325
388,9041959,9,8,0,758,2340509,25,6,1,0,0,10510175
389,2624368,12,5,1,619,2617285,19,3,1,0,0,9022435
390,4805670,6,8,1,687,1811679,43,5,1,0,1,9449120
391,740305,13,4,0,682,2329453,49,6,0,1,1,8886290
392,1490238,6,7,1,535,470758,20,3,1,1,1,9158580
393,1998219,6,5,1,699,3769911,12,6,1,0,0,11412090
394,3968405,12,1,1,496,4098270,37,8,0,0,1,9881280
395,633485,12,1,0,423,1467166,12,1,0,0,0,5724660
396,8369515,8,4,1,677,646726,43,10,0,1,1,10141890
397,4836525,13,2,0,590,3052920,25,7,1,1,0,7704420
398,3599231,11,9,1,438,4395864,46,5,0,0,0,11309525
399,6508062,13,6,1,872,2395220,3,2,1,1,1,6611610
400,9194092,10,1,0,800,4285487,14,7,0,0,1,13264830
401,4797250,13,9,1,667,3245828,0,4,1,1,1,7644560
402,6665314,13,4,1,424,1760504,3,2,0,0,1,10265260
403,3005485,6,4,1,744,259763,46,9,1,1,1,12717695
404,5590857,8,5,1,392,758709,10,9,0,1,0,10607995
405,4743707,8,1,0,380,859551,23,9,1,1,1,8935930
406,7268992,12,6,0,463,1167471,34,8,1,0,0,8286960
407,9829149,11,9,1,753,4582976,35,2,0,0,0,8382955
408,1869422,6,2,1,873,747693,2,1,1,0,0,7613900
409,3102539,13,6,1,879,662845,31,6,0,0,1,11933675
410,9698017,11,5,0,619,2452194,48,9,0,1,0,10795970
411,9871635,10,1,0,705,4150743,16,6,1,1,0,10201750
412,1858893,6,4,0,887,4109602,14,3,1,1,1,7462790
413,5489477,11,7,0,569,1359678,20,9,1,1,0,12085880
414,4470192,9,6,0,432,4270161,46,8,1,0,1,7861005
415,1778812,13,4,0,620,4453796,18,7,1,1,0,7079905
416,2609963,11,1,0,698,4620898,31,4,0,0,0,12107050
417,6521711,6,8,1,642,3413597,14,3,0,0,0,11167540
418,9890234,10,5,1,661,1858113,1,9,0,1,1,7178455
419,593254,13,7,1,536,4462831,22,3,1,1,0,13034150
420,4494330,13,5,0,384,4524776,25,2,0,0,0,9126460
421,6977191,14,5,0,651,3698345,30,5,0,1,1,10560180
422,673885,6,6,0,497,3303299,47,1,1,1,1,5658230
423,9539162,6,2,0,818,1097762,39,10,1,1,0,5637060
424,9211699,7,4,0,635,4895752,21,9,1,1,0,8096795
425,7407470,7,8,0,327,4793718,10,6,0,1,0,7333945
426,7741706,6,2,0,657,2137713,10,10,0,1,0,6684975
427,2766374,11,6,0,880,4604406,39,1,0,1,0,10753265
428,1609906,9,3,1,357,1014812,15,8,1,1,1,7483230
429,4357678,11,4,0,433,2666118,45,3,1,0,0,11243825
430,568405,8,1,0,749,2427582,47,8,1,0,1,8787740
431,4383838,6,6,0,700,2361111,20,3,0,0,1,6462325
432,4023272,12,6,1,745,2606310,43,2,1,1,0,9015500
433,2678900,14,4,1,770,2633843,31,1,1,1,1,9584170
434,4667020,10,6,0,521,4193880,31,10,1,0,0,10929195
